1,France,UEFA
2,Spain,UEFA
3,Argentina,CONMEBOL
4,England,UEFA
5,Portugal,UEFA
6,Brazil,CONMEBOL
7,Netherlands,UEFA
8,Belgium,UEFA
9,Germany,UEFA
10,Italy,UEFA
11,Morocco,CAF
16,United States,Concacaf
12,Uruguay,CONMEBOL
13,Colombia,CONMEBOL
14,Croatia,UEFA
15,Mexico,Concacaf
17,Japan,AFC
18,Iran,AFC
19,Senegal,CAF
20,Denmark,UEFA
22,Austria,UEFA
23,Korea Republic,AFC
25,Australia,AFC
26,Turkey,UEFA
27,Serbia,UEFA
28,Sweden,UEFA
29,Egypt,CAF
30,Canada,Concacaf
31,Paraguay,CONMEBOL
32,Panama,Concacaf
34,Nigeria,CAF
36,Costa Rica,Concacaf
37,Tunisia,CAF
41,Czech Republic,UEFA
43,Qatar,AFC
45,Cameroon,CAF
46,Scotland,UEFA
47,Uzbekistan,AFC
50,South Africa,CAF
51,Saudi Arabia,AFC
52,Bosnia and Herzegovina,UEFA
53,Iraq,AFC
54,Jordan,AFC
55,Ghana,CAF
56,DR Congo,CAF
57,Haiti,Concacaf
58,New Zealand,OFC
59,Cabo Verde,CAF
